Class,Status,Gender,Age
Third,Died,Male,16
Third,Died,Male,16
Third,Died,Male,17
Third,Died,Male,18
Third,Died,Female,18
Third,Died,Male,18
Third,Died,Male,19
Third,Died,Male,19
Third,Died,Male,20
Third,Died,Male,20
Third,Died,Male,21
Third,Died,Male,21
Third,Died,Male,21
Third,Died,Male,21
Third,Died,Male,21
Third,Died,Female,22
Third,Died,Male,22
Third,Died,Female,22
Third,Died,Male,22
Third,Died,Male,22
Third,Died,Male,24
Third,Died,Male,24
Third,Died,Male,24
Third,Died,Male,24.5
Third,Died,Male,25
Third,Died,Male,25
Third,Died,Male,26.5
Third,Died,Male,27
Third,Died,Male,27
Third,Died,Male,27
Third,Died,Male,27
Third,Died,Male,28
Third,Died,Male,28
Third,Died,Male,28.5
Third,Died,Female,29
Third,Died,Male,29
Third,Died,Male,30
Third,Died,Female,30
Third,Died,Male,30.5
Third,Died,Male,31
Third,Died,Female,31
Third,Died,Male,32
Third,Died,Male,32
Third,Died,Male,32.5
Third,Died,Male,33
Third,Died,Male,33
Third,Died,Male,34
Third,Died,Male,35
Third,Died,Male,36
Third,Died,Male,36
Third,Died,Male,36
Third,Died,Male,38
Third,Died,Male,38.5
Third,Died,Female,39
Third,Died,Male,39
Third,Died,Male,40
Third,Died,Male,40
Third,Died,Male,40.5
Third,Died,Female,41
Third,Died,Male,44
Third,Died,Female,45
Third,Died,Male,45.5
Third,Died,Female,47
Third,Died,Male,47
Third,Died,Male,50
Third,Died,Male,50
Third,Died,Male,51
Third,Died,Male,60.5
Third,Died,Male,74
Third,Survived,Female,0.1667
Third,Survived,Male,0.4167
Third,Survived,Female,0.75
Third,Survived,Female,0.75
Third,Survived,Male,0.8333
Third,Survived,Male,1
Third,Survived,Female,1
Third,Survived,Female,1
Third,Survived,Female,1
Third,Survived,Female,2
Third,Survived,Male,3
Third,Survived,Male,3
Third,Survived,Male,4
Third,Survived,Female,4
Third,Survived,Female,4
Third,Survived,Female,4
Third,Survived,Female,5
Third,Survived,Female,5
Third,Survived,Female,5
Third,Survived,Male,6
Third,Survived,Male,7
Third,Survived,Male,9
Third,Survived,Male,9
Third,Survived,Male,9
Third,Survived,Female,9
Third,Survived,Male,12
Third,Survived,Female,13
Third,Survived,Female,14
Third,Survived,Male,14
Third,Survived,Female,15
Third,Survived,Female,15
Third,Survived,Female,15
Third,Survived,Female,16
Third,Survived,Female,16
Third,Survived,Female,16
Third,Survived,Male,16
Third,Survived,Female,16
Third,Survived,Female,17
Third,Survived,Female,17
Third,Survived,Female,18
Third,Survived,Female,18
Third,Survived,Female,18
Third,Survived,Male,18
Third,Survived,Female,18
Third,Survived,Female,18
Third,Survived,Female,18
Third,Survived,Female,19
Third,Survived,Female,19
Third,Survived,Male,19
Third,Survived,Female,19
Third,Survived,Male,20
Third,Survived,Male,20
Third,Survived,Male,20
Third,Survived,Male,20
Third,Survived,Male,21
Third,Survived,Male,21
Third,Survived,Male,21
Third,Survived,Male,21
Third,Survived,Female,21
Third,Survived,Female,22
Third,Survived,Female,22
Third,Survived,Female,22
Third,Survived,Female,22
Third,Survived,Female,22
Third,Survived,Female,22
Third,Survived,Male,22
Third,Survived,Female,22
Third,Survived,Female,22
Third,Survived,Male,22
Third,Survived,Male,23
Third,Survived,Female,23
Third,Survived,Female,23
Third,Survived,Female,23
Third,Survived,Female,24
Third,Survived,Male,24
Third,Survived,Female,24
Third,Survived,Male,24
Third,Survived,Female,24
Third,Survived,Female,24
Third,Survived,Male,25
Third,Survived,Male,25
Third,Survived,Male,25
Third,Survived,Male,25
Third,Survived,Male,25
Third,Survived,Male,25
Third,Survived,Male,26
Third,Survived,Female,26
Third,Survived,Male,26
Third,Survived,Female,26
Third,Survived,Male,26
Third,Survived,Female,26
Third,Survived,Male,27
Third,Survived,Male,27
Third,Survived,Female,27
Third,Survived,Female,27
Third,Survived,Male,27
Third,Survived,Female,27
Third,Survived,Male,29
Third,Survived,Male,29
Third,Survived,Male,29
Third,Survived,Male,29
Third,Survived,Female,29
Third,Survived,Female,30
Third,Survived,Male,30
Third,Survived,Female,30
Third,Survived,Female,31
Third,Survived,Female,31
Third,Survived,Male,31
Third,Survived,Male,32
Third,Survived,Male,32
Third,Survived,Male,32
Third,Survived,Male,32
Third,Survived,Male,32
Third,Survived,Male,32
Third,Survived,Male,32
Third,Survived,Female,33
Third,Survived,Female,33
Third,Survived,Female,35
Third,Survived,Female,36
Third,Survived,Female,36
Third,Survived,Male,36.5
Third,Survived,Female,38
Third,Survived,Female,38
Third,Survived,Male,39
Third,Survived,Male,39
Third,Survived,Male,44
Third,Survived,Female,45
Third,Survived,Male,45
Third,Survived,Female,45
Third,Survived,Female,47
Third,Survived,Female,63
Third,Died,Male,0.3333
Third,Died,Male,0.75
Third,Died,Male,1
Third,Died,Female,1
Third,Died,Male,1
Third,Died,Female,2
Third,Died,Male,2
Third,Died,Male,2
Third,Died,Female,3
Third,Died,Female,3
Third,Died,Male,4
Third,Died,Male,5
Third,Died,Female,6
Third,Died,Male,6
Third,Died,Male,6
Third,Died,Male,7
Third,Died,Female,8
Third,Died,Female,9
Third,Died,Male,9
Third,Died,Female,9
Third,Died,Female,9
Third,Died,Male,9
Third,Died,Female,10
Third,Died,Female,11
Third,Died,Male,11
Third,Died,Male,11
Third,Died,Male,13
Third,Died,Male,13
Third,Died,Male,14
Third,Died,Male,14
Third,Died,Male,15
Third,Died,Male,16
Third,Died,Male,16
Third,Died,Male,16
Third,Died,Male,16
Third,Died,Female,16
Third,Died,Male,16
Third,Died,Male,16
Third,Died,Female,17
Third,Died,Male,17
Third,Died,Male,17
Third,Died,Male,17
Third,Died,Male,17
Third,Died,Male,17
Third,Died,Male,17
Third,Died,Female,17
Third,Died,Male,17
Third,Died,Male,17
Third,Died,Male,18
Third,Died,Female,18
Third,Died,Female,18
Third,Died,Male,18
Third,Died,Female,18
Third,Died,Male,18
Third,Died,Male,18
Third,Died,Male,18
Third,Died,Male,18
Third,Died,Male,18
Third,Died,Female,18
Third,Died,Male,18
Third,Died,Male,18
Third,Died,Female,18
Third,Died,Female,18.5
Third,Died,Male,18.5
Third,Died,Male,19
Third,Died,Male,19
Third,Died,Male,19
Third,Died,Male,19
Third,Died,Male,19
Third,Died,Male,19
Third,Died,Male,19
Third,Died,Female,19
Third,Died,Male,19
Third,Died,Male,19
Third,Died,Male,20
Third,Died,Male,20
Third,Died,Male,20
Third,Died,Male,20
Third,Died,Female,20
Third,Died,Male,20
Third,Died,Male,20
Third,Died,Male,20
Third,Died,Male,20
Third,Died,Female,20
Third,Died,Male,20
Third,Died,Female,20
Third,Died,Male,20
Third,Died,Male,20.5
Third,Died,Male,21
Third,Died,Male,21
Third,Died,Male,21
Third,Died,Female,21
Third,Died,Female,21
Third,Died,Male,21
Third,Died,Male,21
Third,Died,Male,21
Third,Died,Male,21
Third,Died,Female,21
Third,Died,Male,21
Third,Died,Female,21
Third,Died,Male,21
Third,Died,Male,21
Third,Died,Male,21
Third,Died,Male,21
Third,Died,Male,21
Third,Died,Male,21
Third,Died,Male,22
Third,Died,Male,22
Third,Died,Male,22
Third,Died,Male,22
Third,Died,Female,22
Third,Died,Male,22
Third,Died,Male,22
Third,Died,Male,22
Third,Died,Male,22
Third,Died,Male,22
Third,Died,Female,22
Third,Died,Male,22
Third,Died,Male,22
Third,Died,Male,22
Third,Died,Male,22
Third,Died,Male,22.5
Third,Died,Male,23
Third,Died,Male,23
Third,Died,Male,23
Third,Died,Female,23
Third,Died,Male,23
Third,Died,Male,23
Third,Died,Female,23
Third,Died,Male,23.5
Third,Died,Male,24
Third,Died,Male,24
Third,Died,Male,24
Third,Died,Male,24
Third,Died,Male,24
Third,Died,Male,24
Third,Died,Male,24
Third,Died,Female,24
Third,Died,Female,24
Third,Died,Male,24
Third,Died,Male,24
Third,Died,Male,24
Third,Died,Male,24
Third,Died,Male,25
Third,Died,Male,25
Third,Died,Male,25
Third,Died,Male,25
Third,Died,Male,25
Third,Died,Male,25
Third,Died,Female,25
Third,Died,Female,25
Third,Died,Male,25
Third,Died,Male,25
Third,Died,Male,25
Third,Died,Male,26
Third,Died,Male,26
Third,Died,Male,26
Third,Died,Male,26
Third,Died,Male,26
Third,Died,Male,26
Third,Died,Male,26
Third,Died,Male,26
Third,Died,Male,26
Third,Died,Male,26
Third,Died,Male,26
Third,Died,Male,26
Third,Died,Female,26
Third,Died,Female,26
Third,Died,Female,27
Third,Died,Male,27
Third,Died,Male,27
Third,Died,Female,27
Third,Died,Male,27
Third,Died,Male,28
Third,Died,Male,28
Third,Died,Female,28
Third,Died,Male,28
Third,Died,Male,28
Third,Died,Male,28
Third,Died,Female,28
Third,Died,Male,28
Third,Died,Male,28
Third,Died,Male,28
Third,Died,Male,28
Third,Died,Male,28
Third,Died,Male,28
Third,Died,Female,28
Third,Died,Male,28.5
Third,Died,Male,29
Third,Died,Male,29
Third,Died,Male,29
Third,Died,Male,29
Third,Died,Male,29
Third,Died,Male,29
Third,Died,Female,29
Third,Died,Female,29
Third,Died,Male,30
Third,Died,Male,30
Third,Died,Female,30
Third,Died,Female,30
Third,Died,Male,30
Third,Died,Male,30
Third,Died,Male,30
Third,Died,Female,30
Third,Died,Male,30
Third,Died,Female,30.5
Third,Died,Male,31
Third,Died,Male,31
Third,Died,Male,31
Third,Died,Male,31
Third,Died,Male,32
Third,Died,Male,32
Third,Died,Female,32
Third,Died,Male,32
Third,Died,Male,32
Third,Died,Male,32
Third,Died,Male,32
Third,Died,Male,33
Third,Died,Male,33
Third,Died,Male,33
Third,Died,Male,33
Third,Died,Male,33
Third,Died,Male,33
Third,Died,Male,33
Third,Died,Male,34
Third,Died,Male,34
Third,Died,Male,34
Third,Died,Male,34.5
Third,Died,Male,34.5
Third,Died,Male,35
Third,Died,Male,35
Third,Died,Male,35
Third,Died,Male,35
Third,Died,Male,35
Third,Died,Female,35
Third,Died,Male,36
Third,Died,Male,36
Third,Died,Female,36
Third,Died,Male,36
Third,Died,Male,36
Third,Died,Female,37
Third,Died,Male,37
Third,Died,Female,37
Third,Died,Female,38
Third,Died,Male,38
Third,Died,Male,38
Third,Died,Male,39
Third,Died,Female,39
Third,Died,Male,39
Third,Died,Male,39
Third,Died,Female,40
Third,Died,Male,40
Third,Died,Male,40
Third,Died,Male,40
Third,Died,Male,40
Third,Died,Male,40.5
Third,Died,Male,40.5
Third,Died,Male,41
Third,Died,Male,41
Third,Died,Male,41
Third,Died,Female,41
Third,Died,Male,42
Third,Died,Male,42
Third,Died,Male,42
Third,Died,Male,42
Third,Died,Male,43
Third,Died,Male,43
Third,Died,Female,43
Third,Died,Male,43
Third,Died,Male,44
Third,Died,Male,44
Third,Died,Female,45
Third,Died,Male,45
Third,Died,Female,45
Third,Died,Male,47
Third,Died,Female,48
Third,Died,Male,48
Third,Died,Male,49
Third,Died,Male,51
Third,Died,Male,51
Third,Died,Male,55.5
Third,Died,Male,59
Third,Died,Male,61
Third,Died,Male,65
Third,Died,Male,70.5
